time: 0.20256495475769043, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 26, Controller Size: 13
time: 0.2025899887084961, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 26, Controller Size: 13
time: 0.20280909538269043, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 26, Controller Size: 13
time: 0.3652689456939697, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 44, Controller Size: 20
time: 0.365293025970459, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 44, Controller Size: 20
time: 0.36562609672546387, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 44, Controller Size: 20
time: 0.5302221775054932, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 62, Controller Size: 27
time: 0.5302469730377197, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 62, Controller Size: 27
time: 0.53072190284729, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 62, Controller Size: 27
time: 0.6985740661621094, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 80, Controller Size: 34
time: 0.6986010074615479, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 80, Controller Size: 34
time: 0.6992311477661133, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 80, Controller Size: 34
time: 0.7999372482299805, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 87, Controller Size: 40
time: 0.799964189529419, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 87, Controller Size: 40
time: 0.8006470203399658, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 87, Controller Size: 40
time: 0.903616189956665, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 94, Controller Size: 46
time: 0.9036412239074707, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 94, Controller Size: 46
time: 0.9043753147125244, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 94, Controller Size: 46
time: 1.011369228363037, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 101, Controller Size: 52
time: 1.0113961696624756, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 101, Controller Size: 52
time: 1.012223243713379, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 101, Controller Size: 52
time: 1.124258279800415, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 108, Controller Size: 58
time: 1.1242921352386475, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 108, Controller Size: 58
time: 1.12518310546875, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 108, Controller Size: 58
time: 1.3092012405395508, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 117, Controller Size: 65
time: 1.3092551231384277, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 117, Controller Size: 65
time: 1.310291051864624, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 117, Controller Size: 65
time: 1.4290120601654053, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 124, Controller Size: 71
time: 1.4290289878845215, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 124, Controller Size: 71
time: 1.4301531314849854, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 124, Controller Size: 71
time: 1.6110711097717285, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 133, Controller Size: 78
time: 1.6111292839050293, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 133, Controller Size: 78
time: 1.612436294555664, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 133, Controller Size: 78
time: 1.7332582473754883, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 140, Controller Size: 84
time: 1.7332801818847656, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 140, Controller Size: 84
time: 1.7347853183746338, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 140, Controller Size: 84
