time: 0.38842010498046875, root_diff: 0.9285714285714285, V_lower: 0.0, V_upper: 0.9285714285714285, Belief Size: 1533, Controller Size: 4
time: 0.8138020038604736, root_diff: 0.9047619047619044, V_lower: 0.0, V_upper: 0.9047619047619044, Belief Size: 3037, Controller Size: 4
time: 1.4981801509857178, root_diff: 0.3802295317798331, V_lower: 0.5245323729820712, V_upper: 0.9047619047619043, Belief Size: 4080, Controller Size: 5
time: 2.861392021179199, root_diff: 0.07287973846647233, V_lower: 0.7783107377240042, V_upper: 0.8511904761904765, Belief Size: 5595, Controller Size: 96
time: 4.878334045410156, root_diff: 0.06913834715315303, V_lower: 0.7820521290373231, V_upper: 0.8511904761904762, Belief Size: 7108, Controller Size: 169
time: 5.3415610790252686, root_diff: 0.06909264435548923, V_lower: 0.7820978318349869, V_upper: 0.8511904761904762, Belief Size: 7198, Controller Size: 179
time: 5.852895021438599, root_diff: 0.05532207306332826, V_lower: 0.7824755459842904, V_upper: 0.8377976190476186, Belief Size: 7321, Controller Size: 197
time: 5.943979024887085, root_diff: 0.047876530725909916, V_lower: 0.7824806121312333, V_upper: 0.8303571428571432, Belief Size: 7420, Controller Size: 214
time: 6.589848041534424, root_diff: 0.04490033137093463, V_lower: 0.7824806210100175, V_upper: 0.8273809523809521, Belief Size: 7549, Controller Size: 219
time: 6.705864191055298, root_diff: 0.04490032878157413, V_lower: 0.782480623599378, V_upper: 0.8273809523809521, Belief Size: 7676, Controller Size: 239
time: 6.7058820724487305, root_diff: 0.04490032878157413, V_lower: 0.782480623599378, V_upper: 0.8273809523809521, Belief Size: 7676, Controller Size: 239
time: 7.495521068572998, root_diff: 0.03336759068633621, V_lower: 0.782480623599378, V_upper: 0.8158482142857142, Belief Size: 7676, Controller Size: 239
time: 8.18045425415039, root_diff: 0.021474453477415834, V_lower: 0.7824806246475842, V_upper: 0.803955078125, Belief Size: 7775, Controller Size: 250
time: 9.347296237945557, root_diff: 0.021474453477034472, V_lower: 0.7824806246479655, V_upper: 0.803955078125, Belief Size: 8062, Controller Size: 254
time: 9.465054273605347, root_diff: 0.021474453477034472, V_lower: 0.7824806246479655, V_upper: 0.803955078125, Belief Size: 8181, Controller Size: 274
time: 10.288538217544556, root_diff: 0.020106103402523612, V_lower: 0.7824806246480714, V_upper: 0.802586728050595, Belief Size: 8290, Controller Size: 264
time: 10.391019105911255, root_diff: 0.015313584181256723, V_lower: 0.7824806246481089, V_upper: 0.7977942088293656, Belief Size: 8390, Controller Size: 282
time: 11.214136123657227, root_diff: 0.014657117167365397, V_lower: 0.7824806246481111, V_upper: 0.7971377418154765, Belief Size: 8499, Controller Size: 293
time: 11.35868215560913, root_diff: 0.014657117167365397, V_lower: 0.7824806246481111, V_upper: 0.7971377418154765, Belief Size: 8637, Controller Size: 315
time: 12.286425113677979, root_diff: 0.014657117167365397, V_lower: 0.7824806246481111, V_upper: 0.7971377418154765, Belief Size: 8743, Controller Size: 311
time: 12.428676128387451, root_diff: 0.014657117167364841, V_lower: 0.7824806246481116, V_upper: 0.7971377418154765, Belief Size: 8876, Controller Size: 332
time: 13.402997255325317, root_diff: 0.012926365662660921, V_lower: 0.782480624648112, V_upper: 0.7954069903107729, Belief Size: 8977, Controller Size: 332
time: 13.403054237365723, root_diff: 0.012926365662660921, V_lower: 0.782480624648112, V_upper: 0.7954069903107729, Belief Size: 8977, Controller Size: 332
time: 14.446881294250488, root_diff: 0.008818377863049065, V_lower: 0.782480624648112, V_upper: 0.791299002511161, Belief Size: 8977, Controller Size: 332
time: 14.61693024635315, root_diff: 0.008818377863049065, V_lower: 0.782480624648112, V_upper: 0.791299002511161, Belief Size: 9123, Controller Size: 355
