time: 2.289654016494751, root_diff: 0.7503899906479656, V_lower: 0.21808523358719994, V_upper: 0.9684752242351656, Belief Size: 220, Controller Size: 44
time: 2.82255220413208, root_diff: 0.5614852779772682, V_lower: 0.3770922093431498, V_upper: 0.938577487320418, Belief Size: 732, Controller Size: 117
time: 3.011014223098755, root_diff: 0.525054045340594, V_lower: 0.3770922093431498, V_upper: 0.9021462546837438, Belief Size: 762, Controller Size: 118
time: 3.230903148651123, root_diff: 0.49627337155762097, V_lower: 0.3770922093431498, V_upper: 0.8733655809007708, Belief Size: 780, Controller Size: 118
time: 3.449747085571289, root_diff: 0.4223428563600413, V_lower: 0.3770922093431498, V_upper: 0.7994350657031911, Belief Size: 821, Controller Size: 122
time: 3.892254114151001, root_diff: 0.30515276472977615, V_lower: 0.4283571085013498, V_upper: 0.7335098732311259, Belief Size: 986, Controller Size: 177
time: 4.392885208129883, root_diff: 0.2531701347034131, V_lower: 0.4283571085013498, V_upper: 0.6815272432047629, Belief Size: 1112, Controller Size: 193
time: 4.767909288406372, root_diff: 0.20001220306322542, V_lower: 0.4283571085013498, V_upper: 0.6283693115645752, Belief Size: 1162, Controller Size: 200
time: 6.250544309616089, root_diff: 0.13816747776491717, V_lower: 0.4427999339829098, V_upper: 0.580967411747827, Belief Size: 1639, Controller Size: 289
time: 7.05117130279541, root_diff: 0.09653466388227999, V_lower: 0.4427999339829098, V_upper: 0.5393345978651898, Belief Size: 1837, Controller Size: 316
time: 8.471317291259766, root_diff: 0.08589414133729029, V_lower: 0.4427999339829098, V_upper: 0.5286940753202001, Belief Size: 2113, Controller Size: 351
time: 9.705211400985718, root_diff: 0.04212215883856679, V_lower: 0.4458529220034398, V_upper: 0.4879750808420066, Belief Size: 2365, Controller Size: 396
time: 11.696183443069458, root_diff: 0.03350013085710285, V_lower: 0.44585292200343984, V_upper: 0.4793530528605427, Belief Size: 2727, Controller Size: 425
time: 12.608082294464111, root_diff: 0.018613656160310854, V_lower: 0.44585292200343984, V_upper: 0.4644665781637507, Belief Size: 2861, Controller Size: 453
time: 13.22170114517212, root_diff: 0.012500677957096529, V_lower: 0.44585292200343984, V_upper: 0.4583535999605364, Belief Size: 2933, Controller Size: 441
time: 14.509153127670288, root_diff: 0.005838937705898606, V_lower: 0.44585292200343984, V_upper: 0.45169185970933845, Belief Size: 3151, Controller Size: 499
time: 15.160167217254639, root_diff: 0.004725731637098496, V_lower: 0.44585292200343984, V_upper: 0.45057865364053834, Belief Size: 3218, Controller Size: 491
time: 16.89520502090454, root_diff: 0.0030651652146945207, V_lower: 0.44585292200343984, V_upper: 0.44891808721813437, Belief Size: 3488, Controller Size: 527
time: 17.332918882369995, root_diff: 0.002955503758843736, V_lower: 0.44585292200343984, V_upper: 0.4488084257622836, Belief Size: 3522, Controller Size: 530
time: 18.331446886062622, root_diff: 0.002953134084444309, V_lower: 0.44585292200343984, V_upper: 0.44880605608788415, Belief Size: 3614, Controller Size: 513
time: 19.018867015838623, root_diff: 0.0025876043125662718, V_lower: 0.44585292200343984, V_upper: 0.4484405263160061, Belief Size: 3673, Controller Size: 520
time: 19.855931043624878, root_diff: 0.002559859269825049, V_lower: 0.44585292200343984, V_upper: 0.4484127812732649, Belief Size: 3744, Controller Size: 498
Total time: 19.9616379737854, root_diff: 0.00046145264522939877, V_lower: 0.44585292200343984, V_upper: 0.44631437464866924, Belief Size: 3744, Controller Size: 498
